rule_id,source_file,column_name,rule_type,severity,status,failed_count,total_count,failure_percentage,message,checked_at
DQ_REQUIRED_COLUMN_olist_products_dataset.csv_product_height_cm,olist_products_dataset.csv,product_height_cm,required_column_exists,error,PASS,0,1,0.0,Required column exists,2026-05-23T16:27:01.506272+00:00
DQ_REQUIRED_COLUMN_olist_products_dataset.csv_product_width_cm,olist_products_dataset.csv,product_width_cm,required_column_exists,error,PASS,0,1,0.0,Required column exists,2026-05-23T16:27:01.506272+00:00
DQ_NOT_NULL_010,olist_products_dataset.csv,product_id,not_null,error,PASS,0,32951,0.0,Column has no null values,2026-05-23T16:27:01.506272+00:00
DQ_NON_NEG_005,olist_products_dataset.csv,product_weight_g,non_negative,warning,PASS,0,32951,0.0,Column values are numeric and non-negative,2026-05-23T16:27:01.506272+00:00
DQ_NON_NEG_006,olist_products_dataset.csv,product_length_cm,non_negative,warning,PASS,0,32951,0.0,Column values are numeric and non-negative,2026-05-23T16:27:01.506272+00:00
DQ_NON_NEG_007,olist_products_dataset.csv,product_height_cm,non_negative,warning,PASS,0,32951,0.0,Column values are numeric and non-negative,2026-05-23T16:27:01.506272+00:00
DQ_NON_NEG_008,olist_products_dataset.csv,product_width_cm,non_negative,warning,PASS,0,32951,0.0,Column values are numeric and non-negative,2026-05-23T16:27:01.506272+00:00
DQ_REQUIRED_COLUMN_olist_sellers_dataset.csv_seller_id,olist_sellers_dataset.csv,seller_id,required_column_exists,error,PASS,0,1,0.0,Required column exists,2026-05-23T16:27:01.514607+00:00
DQ_REQUIRED_COLUMN_olist_sellers_dataset.csv_seller_zip_code_prefix,olist_sellers_dataset.csv,seller_zip_code_prefix,required_column_exists,error,PASS,0,1,0.0,Required column exists,2026-05-23T16:27:01.514607+00:00
DQ_REQUIRED_COLUMN_olist_sellers_dataset.csv_seller_city,olist_sellers_dataset.csv,seller_city,required_column_exists,error,PASS,0,1,0.0,Required column exists,2026-05-23T16:27:01.514607+00:00
DQ_REQUIRED_COLUMN_olist_sellers_dataset.csv_seller_state,olist_sellers_dataset.csv,seller_state,required_column_exists,error,PASS,0,1,0.0,Required column exists,2026-05-23T16:27:01.514607+00:00
DQ_NOT_NULL_011,olist_sellers_dataset.csv,seller_id,not_null,error,PASS,0,3095,0.0,Column has no null values,2026-05-23T16:27:01.514607+00:00
DQ_REQUIRED_COLUMN_product_category_name_translation.csv_product_category_name,product_category_name_translation.csv,product_category_name,required_column_exists,error,PASS,0,1,0.0,Required column exists,2026-05-23T16:27:01.514607+00:00
DQ_REQUIRED_COLUMN_product_category_name_translation.csv_product_category_name_english,product_category_name_translation.csv,product_category_name_english,required_column_exists,error,PASS,0,1,0.0,Required column exists,2026-05-23T16:27:01.514607+00:00
